adult,backdrop_path,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count,genres,year,month,day,primary_country,primary_genre
False,/m7FqiUOvsSk7Ulg2oRMfFGcLeT9.jpg,91239,['US'],en,Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",53.1421,/zCEm0xrRMa5fLCQ9d0nvcw6tvcr.jpg,2020-12-25,Bridgerton,8.075,3069,['Drama'],2020.0,12.0,25.0,US,Drama
False,/5NrSIzfcBOFI9HRGV4nRYgMGhDU.jpg,77169,['US'],en,Cobra Kai,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",48.5362,/6POBWybSBDBKjSs1VAQcnQC1qyt.jpg,2018-05-02,Cobra Kai,8.207,6791,"['Action & Adventure', 'Drama', 'Comedy']",2018.0,5.0,2.0,US,Action & Adventure
False,/Apo2p8VlZKtuhysk5F31A8cpvNt.jpg,245684,['KR'],ko,흑백요리사: 요리 계급 전쟁,"Eighty ""Black Spoon"" underdog cooks with a knack for flavor face 20 elite ""White Spoon"" chefs in a fierce cooking showdown among 100 contenders.",52.066,/dYMFQfzIJwCYAHwf3ZjiL2iVFIy.jpg,2024-09-17,Culinary Class Wars,8.555,55,['Reality'],2024.0,9.0,17.0,KR,Reality
False,/uU6YW3N11qECNfz18LNGAGg3Uir.jpg,76669,['ES'],es,Élite,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",48.2631,/3NTAbAiao4JLzFQw6YxP1YZppM8.jpg,2018-10-05,Elite,8.015,9304,"['Crime', 'Mystery', 'Drama']",2018.0,10.0,5.0,ES,Crime
False,/A3bigAAa4u6EbDvmMpDc0GNIEtG.jpg,1425,['US'],en,House of Cards,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",41.6111,/hKWxWjFwnMvkWQawbhvC0Y7ygQ8.jpg,2013-02-01,House of Cards,8.008,3022,['Drama'],2013.0,2.0,1.0,US,Drama
False,/bKxiLRPVWe2nZXCzt6JPr5HNWYm.jpg,110316,['JP'],ja,今際の国のアリス,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to win.",45.2278,/Ac8ruycRXzgcsndTZFK6ouGA0FA.jpg,2020-12-10,Alice in Borderland,8.1,2567,"['Mystery', 'Drama', 'Action & Adventure']",2020.0,12.0,10.0,JP,Mystery
False,/jXTZaHarR9TZiMoQwiQWsGYXqnS.jpg,82596,['US'],en,Emily in Paris,New passions. New fashions. New Emily? A plucky American marketing whiz spreads her wings in life and love after landing her dream job in Paris.,41.442,/c0bkO416OU7YGdOFktk45H8REgL.jpg,2020-10-02,Emily in Paris,7.61,1490,"['Drama', 'Comedy']",2020.0,10.0,2.0,US,Drama
False,/QbtctI8EzlhsyFDMUMyG3fli8B.jpg,63333,['GB'],en,The Last Kingdom,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",39.5054,/8eJf0hxgIhE6QSxbtuNCekTddy1.jpg,2015-10-10,The Last Kingdom,8.246,1887,"['Action & Adventure', 'Drama', 'War & Politics']",2015.0,10.0,10.0,GB,Action & Adventure
False,/nBrkOZyI75artyizuBFeya48KbO.jpg,86831,['US'],en,"Love, Death & Robots","Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",39.358,/vvRpJJxAw1sB4w4r0hsOdqa9eJc.jpg,2019-03-15,"Love, Death & Robots",8.223,3807,"['Animation', 'Sci-Fi & Fantasy']",2019.0,3.0,15.0,US,Animation
False,/tNi2aJPdCKfielGYzIi3IKxStz9.jpg,502,['US'],en,Sesame Street,"On a special inner city street, the inhabitants—human and muppet—teach preschoolers basic educational and social concepts using comedy, cartoons, games, and songs.",39.2092,/14k9BfZ2p4rQBMeJ5crKTfUZVwD.jpg,1969-11-10,Sesame Street,7.073,273,"['Kids', 'Comedy']",1969.0,11.0,10.0,US,Kids
False,/6pSkqecoNsxSA467Z28uhVDrjXo.jpg,114868,['JP'],ja,終末のワルキューレ,"Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin.",38.3649,/t6GEKms3JgLhC6pXjFHhDvPP65y.jpg,2021-06-17,Record of Ragnarok,8.412,1808,"['Action & Adventure', 'Animation', 'Sci-Fi & Fantasy']",2021.0,6.0,17.0,JP,Action & Adventure
False,/lSffVt0etoSLyl2hsTREdJ1CnQ1.jpg,279601,['GB'],en,Man vs Baby,"As Christmas approaches, a blundering-all-the-way dad juggles housesitting a posh London penthouse with an unexpected pickle: caring for a lost baby.",36.295,/x7UZVTEr26H5yCSVQoKTeBdvUvg.jpg,2025-12-11,Man vs Baby,6.827,139,"['Comedy', 'Family']",2025.0,12.0,11.0,GB,Comedy
False,/umVYLVZ7T85TkIHudxK799lPnLQ.jpg,100883,['US'],en,Never Have I Ever,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her.",27.1176,/hd5fnBixab6IzfUwjC5wfdbX3eM.jpg,2020-04-27,Never Have I Ever,8.077,1836,"['Comedy', 'Drama']",2020.0,4.0,27.0,US,Comedy
False,/8VXhcrl5z2I1zEU9X3pkkNrZlD.jpg,65494,"['GB', 'US']",en,The Crown,"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. 

The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",36.0269,/1DDE0Z2Y805rqfkEjPbZsMLyPwa.jpg,2016-11-04,The Crown,8.19,2269,['Drama'],2016.0,11.0,4.0,GB,Drama
False,/qFYDJUIFh8zgEDy3EvnHwhgOl0S.jpg,61222,['US'],en,BoJack Horseman,"Meet the most beloved sitcom horse of the '90s , 20 years later. He's a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",43.0645,/6JFWzlChcGgLiIUo2COgNlWGFKy.jpg,2014-08-22,BoJack Horseman,8.545,2716,"['Animation', 'Comedy', 'Drama']",2014.0,8.0,22.0,US,Animation
False,/q8eejQcg1bAqImEV8jh8RtBD4uH.jpg,94605,['US'],en,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",34.7103,/wwbHr8MPErMbmiYNaxDgTWyewOX.jpg,2021-11-06,Arcane,8.752,5577,"['Animation', 'Action & Adventure']",2021.0,11.0,6.0,US,Animation
False,/xGexTKCJDkl12dTW4YCBDXWb1AD.jpg,71446,['ES'],es,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",34.5549,/reEMJA1uzscCbkpeRJeTT2bjqUp.jpg,2017-05-02,Money Heist,8.233,19201,"['Crime', 'Drama']",2017.0,5.0,2.0,ES,Crime
False,/kSIQWeamejVQAW5LCfgLAS8ZWv9.jpg,1424,['US'],en,Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",34.94,/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg,2013-07-11,Orange Is the New Black,7.654,2714,"['Comedy', 'Drama']",2013.0,7.0,11.0,US,Comedy
False,/iZu83GB1IM7VXL2X90m7iLHYUHU.jpg,79696,['US'],en,Manifest,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",33.9546,/eTemCphrglLKrXOsNRhYezHA7H9.jpg,2018-09-24,Manifest,7.625,1716,"['Sci-Fi & Fantasy', 'Mystery', 'Drama']",2018.0,9.0,24.0,US,Sci-Fi & Fantasy
False,/c4CSgKL6QfkJxsWcGYDyTxpbzpW.jpg,66788,['US'],en,13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",33.178,/nel144y4dIOdFFid6twN5mAX9Yd.jpg,2017-03-31,13 Reasons Why,7.56,4432,"['Drama', 'Mystery']",2017.0,3.0,31.0,US,Drama
False,/gHJhN9AJV4PmJ7YpLFa9ldDWuG8.jpg,75006,['US'],en,The Umbrella Academy,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",31.154,/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,2019-02-15,The Umbrella Academy,8.497,9829,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Drama']",2019.0,2.0,15.0,US,Action & Adventure
False,/qUrVqmzdoRbFQpfbPnYXQQP2Zzl.jpg,285636,['AR'],es,El tiempo de las moscas,"Fresh out of prison and low on options, two women run a fumigation business — until a shady client pulls them back into the life they fought to escape.",30.5668,/40aA6WAvTNFhucaO7s3K4iWEFSa.jpg,2026-01-01,Time Flies,8.0,2,"['Drama', 'Comedy', 'Crime']",2026.0,1.0,1.0,AR,Drama
False,/qx8XQund44cecIJiX2Yb4SUeiT.jpg,63351,['US'],en,Narcos,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,33.9586,/rTmal9fDbwh5F0waol2hq35U4ah.jpg,2015-08-28,Narcos,8.061,3131,"['Crime', 'Drama']",2015.0,8.0,28.0,US,Crime
False,/nh0BS0sLXozmkTpOe1Ve33MyxlK.jpg,68854,['JP'],ja,君に届け,"Nicknamed ""Sadako"" for her spooky appearance, high schooler Sawako begins to break out of her shell when she befriends popular boy Kazehaya.",32.5324,/lLUAZzJc6vfyE2TeY56AGGb3E5K.jpg,2009-10-07,From Me to You: Kimi ni Todoke,8.4,335,"['Animation', 'Drama']",2009.0,10.0,7.0,JP,Animation
False,/jKyYbESbbsDuEF0G2a9Kg5zuttG.jpg,277752,['ES'],es,Ciudad de sombras,"A gruesome crime has taken place in La Pedrera – Casa Milà: a burned body is found on the facade of Gaudí's iconic building. Inspector Milo Malart, previously suspended for misconduct by the Mossos d'Esquadra (Mossos of the Squadron), returns to Barcelona to find the perpetrator along with Sub-Inspector Rebeca Garrido.",29.9605,/n4rguIB7Cf4h3l1IyqMo3THW5xn.jpg,2025-12-12,City of Shadows,6.847,36,"['Crime', 'Mystery']",2025.0,12.0,12.0,ES,Crime
False,/aatG9iVAUL7U7OyFEmupESpOrD2.jpg,69740,['US'],en,Ozark,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",30.0981,/m73bD8VjibSKuTWg597GQVyVhSb.jpg,2017-07-21,Ozark,8.21,2607,"['Crime', 'Drama']",2017.0,7.0,21.0,US,Crime
False,/q74hFjNMjlA4Fj8mYA42X9lOvLV.jpg,99966,['KR'],ko,지금 우리 학교는,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,29.3357,/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,2022-01-28,All of Us Are Dead,8.279,4214,"['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']",2022.0,1.0,28.0,KR,Action & Adventure
False,/qsnXwGS7KBbX4JLqHvICngtR8qg.jpg,61889,['US'],en,Marvel's Daredevil,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,29.1545,/u6tICVagGwukuFPr0qBUwOqCKSn.jpg,2015-04-10,Marvel's Daredevil,8.158,4955,"['Crime', 'Drama', 'Action & Adventure']",2015.0,4.0,10.0,US,Crime
False,/mwczMJeoQrsPERcyP1e900jo3Jv.jpg,219246,['KR'],ko,폭싹 속았수다,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",28.9516,/1VC3sEFxYXYDqQUCAnvWfUsYg1s.jpg,2025-03-07,When Life Gives You Tangerines,8.7,443,['Drama'],2025.0,3.0,7.0,KR,Drama
False,/u23G9KZregWHs1use6ir1fX27gl.jpg,81356,['GB'],en,Sex Education,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,28.3252,/bc3bmTdnoKcRuO9xdQKgAbB7Y9Z.jpg,2019-01-11,Sex Education,8.217,7691,"['Comedy', 'Drama']",2019.0,1.0,11.0,GB,Comedy
False,/8qn0u64JXSgnGKe2KkKqrfH7V84.jpg,4589,['US'],en,Arrested Development,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",28.1434,/p4r4RD7RsNcJVoz0H6z3dBoTBtW.jpg,2003-11-02,Arrested Development,7.935,1572,['Comedy'],2003.0,11.0,2.0,US,Comedy
False,/sD3OAmfxHRXWmZFROjRRL3HcPXj.jpg,81046,['US'],en,The Dragon Prince,An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,27.3371,/d7PIRa6ez7ZEl9D4JUrnSsmcnVD.jpg,2018-09-14,The Dragon Prince,8.2,676,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",2018.0,9.0,14.0,US,Animation
False,/uM6WJodeCyTp7h7NhE4rgd0RbRZ.jpg,74204,['US'],en,Big Mouth,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,26.8957,/1Zio9w1tAd3r5Gu4d9AzTSx2hnT.jpg,2017-09-29,Big Mouth,7.64,1172,"['Comedy', 'Animation']",2017.0,9.0,29.0,US,Comedy
False,/5vUux2vNUTqwCzb7tVcH18XnsF.jpg,113988,['US'],en,DAHMER - Monster: The Jeffrey Dahmer Story,This series examines the gruesome and horrific true crimes of Jeffrey Dahmer and the systemic failures that enabled one of America’s most notorious serial killers to continue his murderous spree in plain sight for over a decade.,26.7387,/f2PVrphK0u81ES256lw3oAZuF3x.jpg,2022-09-21,DAHMER - Monster: The Jeffrey Dahmer Story,7.974,2794,"['Drama', 'Crime']",2022.0,9.0,21.0,US,Drama
False,/m1nuMHBCiNy6pMGzRAdH5frNesN.jpg,88324,['US'],en,Virgin River,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",26.4287,/oHEqfmSWR4Ex4V4AJyUn8HGHHnt.jpg,2019-12-06,Virgin River,7.928,566,['Drama'],2019.0,12.0,6.0,US,Drama
False,/hHEqDPbO6z4Xje5tOf3Wm1mdMtI.jpg,73021,['US'],en,Disenchantment,"Set in a ruined medieval city called Dreamland, Disenchantment follows the grubby adventures of a hard-drinking princess, her feisty elf companion and her personal demon.",26.3489,/1WynayCqKRzrl4cFZR8NOfiDwd6.jpg,2018-08-17,Disenchantment,7.419,1245,"['Animation', 'Comedy', 'Action & Adventure', 'Sci-Fi & Fantasy']",2018.0,8.0,17.0,US,Animation
False,/AjwoDj77HLlqcpwEGqsnvMXm5my.jpg,136283,['KR'],ko,더 글로리,"Years after surviving horrific abuse in high school, a woman puts an elaborate revenge scheme in motion to make the perpetrators pay for their crimes.",25.8293,/uUM4LVlPgIrww07OoEKrGWlS1Ej.jpg,2022-12-30,The Glory,8.464,848,['Drama'],2022.0,12.0,30.0,KR,Drama
False,/i8taDLjpF8cCbp53N8kOFt1LSkW.jpg,90802,['US'],en,The Sandman,"After years of imprisonment, Morpheus — the King of Dreams — embarks on a journey across worlds to find what was stolen from him and restore his power.",25.7251,/dhbqyYjLfTNAHodDDjDELzwO6F4.jpg,2022-08-05,The Sandman,7.891,2466,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",2022.0,8.0,5.0,US,Sci-Fi & Fantasy
False,/lPmUu3xkoksz3xsa1feIUoOBZrg.jpg,117581,['US'],en,Ginny & Georgia,"Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy.",25.5224,/vOwunzW4dx3n0J5mH40n9jTRSwY.jpg,2021-02-24,Ginny & Georgia,8.05,1736,"['Comedy', 'Drama']",2021.0,2.0,24.0,US,Comedy
False,/cm2oUAPiTE1ERoYYOzzgloQw4YZ.jpg,286801,['US'],en,Monster: The Ed Gein Story,"The shocking true-life tale of Ed Gein, the infamous murderer and grave robber who inspired many of Hollywood's most iconic on-screen killers.",25.1554,/iDHzRALtZCzHVmx7uyjTTKvMAPB.jpg,2025-10-03,Monster: The Ed Gein Story,7.247,429,"['Drama', 'Crime']",2025.0,10.0,3.0,US,Drama
False,/11Pfh4yqjKbOgn5vY3AQD9VU4Vc.jpg,90937,['JP'],ja,BEASTARS,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.",24.9782,/sh9iNWkleOjEHRHj8WPHhmMi8HL.jpg,2019-10-10,BEASTARS,8.42,1249,"['Animation', 'Drama', 'Mystery', 'Crime']",2019.0,10.0,10.0,JP,Animation
False,/k47JEUTQsSMN532HRg6RCzZKBdB.jpg,116135,['US'],en,Vikings: Valhalla,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",24.448,/rDFy1fUU6OC3Mm0CLFB7u0fGwVN.jpg,2022-02-25,Vikings: Valhalla,7.664,1001,"['Action & Adventure', 'Drama', 'War & Politics']",2022.0,2.0,25.0,US,Action & Adventure
False,/xlyT6E0jceTQ9s4BpHY6PkeOilr.jpg,50524,['TH'],th,เป็นต่อ,A successful man at a publishing company tries to rekindle his romance with an ex-girlfriend as those around him also search for love amidst conflict.,24.3957,/3pCGtGxRjxY9ZBfoCVh3gLhc5Fy.jpg,2004-10-07,Pen Tor,8.8,10,['Comedy'],2004.0,10.0,7.0,TH,Comedy
False,/qYnIUgr4zUECcpT9MZGNcdgS5bu.jpg,290231,['MX'],en,Amor de oficina,"Two colleagues from vastly different backgrounds initially despise each other. He is a privileged ""nepo baby,"" while she is a determined worker who has earned everything through her efforts. Their competitive spirit leads to unexpected sparks and, eventually, deeper affection.",46.6611,/qNSFDLDaMhEvDTzOr1FOYeXopQz.jpg,2026-01-01,Love from 9 to 5,6.1,4,['Comedy'],2026.0,1.0,1.0,MX,Comedy
False,/vcU8hIHXuADItJSzEmt2F8IMq5l.jpg,252193,['JP'],ja,イクサガミ,"In the early Meiji era, Shujiro, once known as an undefeated samurai, decides to participate in a deadly survival game to save his family and villagers.",21.3066,/wKNEFlrs68rzweVzfwkjWmkJqu7.jpg,2025-11-13,Last Samurai Standing,7.868,148,"['Action & Adventure', 'Drama']",2025.0,11.0,13.0,JP,Action & Adventure
False,/qbxoEhlxNcyr7GjG2SXTShWn32m.jpg,80623,['JP'],ja,バキ,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.",23.3243,/j4bL0G8h8k49MuXKYfZqhXqk2rI.jpg,2018-06-26,BAKI,8.097,1352,"['Animation', 'Action & Adventure', 'Crime', 'Drama']",2018.0,6.0,26.0,JP,Animation
False,/jBFOVEE5sMIyT141YIqIwyU8Y1D.jpg,116799,['US'],en,The Lincoln Lawyer,"Sidelined after an accident, hotshot Los Angeles lawyer Mickey Haller restarts his career - and his trademark Lincoln - when he takes on a murder case.",20.1268,/4jSaIqEU8CPBBNn4iVCK6wzPjSx.jpg,2022-05-13,The Lincoln Lawyer,7.652,422,"['Drama', 'Crime']",2022.0,5.0,13.0,US,Drama
False,/aPsyg7Q9xSUy3AshffqwWPc69Ir.jpg,79242,['US'],en,Chilling Adventures of Sabrina,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",22.8598,/yxMpoHO0CXP5o9gB7IfsciilQS4.jpg,2018-10-26,Chilling Adventures of Sabrina,8.183,3689,"['Mystery', 'Sci-Fi & Fantasy', 'Drama']",2018.0,10.0,26.0,US,Mystery
False,/jBGjbSDRxOEudW9rmQbWDzJUKq9.jpg,67178,['US'],en,Marvel's The Punisher,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,22.9297,/tM6xqRKXoloH9UchaJEyyRE9O1w.jpg,2017-11-17,Marvel's The Punisher,8.136,2924,"['Action & Adventure', 'Crime', 'Drama']",2017.0,11.0,17.0,US,Action & Adventure
